time,damage_c_max,damage_t_max,damage_total_max,max_princ_max,temp_mid,tip_disp_z,vonmises_max
0,0,0,0,0,0,0,0
1,0,0.98802155809874,0.98802155809874,8061410.7282371,98.336186135058,-0.00051982020345305,16088913.709084
