time,base_shear_x,damage_c_max,damage_t_max,damage_total_max,top_disp_x,top_disp_y
0,0,0,0,0,0,0
4,-402907.80983678,0,0.98463501589813,0.98463501589813,-0.00393,0.00096568317957698
8,-134272.0078086,0,0.90018235898319,0.90018235898319,-0.00131,0.00096568318071995
12,134363.49585571,0,0.9070614923034,0.9070614923034,0.00131,0.00096568288858101
16,402954.48342842,0,0.98463492415716,0.98463492415716,0.00393,0.00096577632474549
20,669030.82281298,0.34554938481577,0.9917194737201,0.9917194737201,0.00655,0.00097045149775806
24,400395.17620433,0,0.96413548153243,0.96413548153243,0.00393,0.00097045133176401
