time,contact_force_x,right_disp
0,0,0
0.03125,-0.0085937500000024,-0.0015625
0.09375,-0.025781250000168,-0.0046875
0.21875,-0.06015625000017,-0.0109375
0.46875,-0.12890625000067,-0.0234375
0.96875,-0.26640625000152,-0.0484375
1.46875,-0.40390625000135,-0.0734375
1.96875,-0.54140625000106,-0.0984375
2.46875,-0.67890625000101,-0.1234375
2.96875,-0.81640625000112,-0.1484375
3.46875,-0.95390625000128,-0.1734375
