time,base_shear_x,top_disp_x,vonmises_max
0,0,0,0
4,-391473.85846589,-0.0052990613131559,3063358.9678901
8,-149529.70822691,-0.0020240613131559,1511795.6062741
12,149529.70822691,0.0020240613131559,1511795.6062741
16,391473.85846589,0.0052990613131559,3063358.9678901
20,483888.30047798,0.00655,3656012.7984511
24,391473.85846589,0.0052990613131559,3063358.96789
28,149529.70822691,0.0020240613131559,1511795.6062741
32,-149529.70822691,-0.0020240613131559,1511795.6062741
36,-391473.85846589,-0.0052990613131559,3063358.9678901
40,-661277.59687729,-0.009,4084778.354464
44,-535622.87808503,-0.0072811529493745,3642777.1122944
48,-204397.90968427,-0.0027811529493745,1702703.5095692
52,205018.6671043,0.0027811529493745,1870796.8287693
56,537574.26612048,0.0072811529493745,3928028.5827336
60,661276.93039628,0.009,4086412.4616262
64,535633.27154512,0.0072811529493745,3644162.5117767
68,204402.75603229,0.0027811529493745,1703342.1274392
72,-205020.67736388,-0.0027811529493745,1870795.1915966
76,-535622.87808503,-0.0072811529493745,3642777.1122944
80,-997394.38703655,-0.0144,6280692.6165997
84,-955171.77870108,-0.01369521383465,5941422.828142
88,-811787.77741843,-0.011649844718999,4971534.7353977
92,-588461.95963418,-0.0084641076330116,3460904.9681802
96,-307055.0123955,-0.0044498447189992,1638248.7030567
100,4886.9916243858,-4.4087284769305e-18,553050.44618813
104,315318.21421739,0.0044498447189992,2424499.0010643
108,622706.75814277,0.0084641076330116,4154367.4053482
112,838532.80056621,0.011649844718999,4975722.2128766
116,959385.92424624,0.01369521383465,5946367.7822796
120,998416.14467472,0.0144,6277114.4653822
124,955551.04904534,0.01369521383465,5941646.2365155
128,812116.23654499,0.011649844718999,4971730.5780543
132,588711.27843374,0.0084641076330116,3461057.8676714
136,307204.6085654,0.0044498447189992,1640035.7387901
140,-4847.9388410291,6.1722198677027e-18,553011.14667839
144,-295310.04750902,-0.0044498447189992,1632657.3285661
148,-588461.95963418,-0.0084641076330116,3460904.9681802
152,-811787.77741844,-0.011649844718999,4971534.7353977
156,-955171.77870108,-0.01369521383465,5941422.828142
160,-1377995.5137978,-0.024,10720183.773332
164,-1132589.2614606,-0.019416407864999,8503794.357673
168,-418807.12366677,-0.0074164078649988,2894681.0326383
172,463476.11977155,0.0074164078649987,4038843.6946746
176,1228836.238076,0.019416407864999,8630164.7129838
180,1388981.7860442,0.024,10710344.928416
184,1138785.4373457,0.019416407864999,8519677.9705601
188,421540.14804202,0.0074164078649988,2902322.1637383
192,-465023.78607889,-0.0074164078649987,4041399.5058197
196,-1132589.2614606,-0.019416407864999,8503794.357673
200,-1392456.8760864,-0.024,10628223.006194
204,-1124032.0924044,-0.019416407864999,8494568.3784513
208,-415159.01053786,-0.0074164078649988,2890705.6366424
212,461056.30606899,0.0074164078649988,4036329.7566471
216,1138785.4373457,0.019416407864999,8519677.97056
218,1342539.7933302,0.022825356391084,10115466.253765
222,1342539.7933302,0.022825356391084,10115466.253765
226,821430.58763952,0.014106846055019,6034185.891423
230,-21741.819018431,7.6432815802073e-17,570127.56653386
234,-650906.83393571,-0.014106846055019,2941591.5164593
238,-1325408.0797053,-0.022825356391084,10086523.170265
242,-1325408.0797053,-0.022825356391084,10086523.170265
246,-810381.63877101,-0.014106846055019,6015046.9297267
250,22948.647765564,5.8931601711854e-18,573379.71253296
254,653249.3113744,0.014106846055019,2950115.1665963
258,1342539.7933302,0.022825356391084,10115466.253765
262,1342539.7933302,0.022825356391084,10115466.253765
266,821430.58763952,0.014106846055019,6034185.891423
270,-21741.81901843,8.231112043798e-17,570127.56653386
274,-650906.83393571,-0.014106846055019,2941591.5164593
278,-1325408.0797053,-0.022825356391084,10086523.170265
280,-1394797.5159676,-0.024,10635073.819617
