time,load_magnitude,tip_disp_z
0,0,0
0.1,-1000,-8.4442237892724e-07
0.2,-2000,-1.6888447578408e-06
0.3,-3000,-2.5332671367543e-06
0.4,-4000,-3.3776895156679e-06
0.5,-5000,-4.2221118945814e-06
0.6,-6000,-5.066534273495e-06
0.7,-7000,-5.9109566524085e-06
0.8,-8000,-6.7553790313221e-06
0.9,-9000,-7.5998014102356e-06
1,-10000,-8.4442237891492e-06
