0.00125,0.001890451
0.00250,0.003780902
0.00375,0.005671352
0.00500,0.007561803
0.00625,-0.012445468
0.00750,-0.032452739
0.00875,-0.05246001
0.01000,-0.072467281
0.01125,-0.076011876
0.01250,-0.079556471
0.01375,-0.083101066
0.01500,-0.086645662
0.01625,-0.096255453
0.01750,-0.10586524
0.01875,-0.11547504
0.02000,-0.12508483
0.02125,-0.12453345
0.02250,-0.12398206
0.02375,-0.12343068
0.02500,-0.1228793
0.02625,-0.096885603
0.02750,-0.070891905
0.02875,-0.044898206
0.03000,-0.018904508
0.03125,0.018038051
0.03250,0.054980611
0.03375,0.09192317
0.03500,0.12886573
0.03625,0.11311197
0.03750,0.097358216
0.03875,0.08160446
0.04000,0.065850703
0.04125,-0.004411052
0.04250,-0.074672807
0.04375,-0.14493456
0.04500,-0.21519632
0.04625,-0.21236064
0.04750,-0.20952496
0.04875,-0.20668929
0.05000,-0.20385361
0.05125,-0.14572225
0.05250,-0.087590887
0.05375,-0.029459525
0.05500,0.028671837
0.05625,0.032058895
0.05750,0.035445952
0.05875,0.03883301
0.06000,0.042220068
0.06125,0.056634755
0.06250,0.071049443
0.06375,0.08546413
0.06500,0.099878817
0.06625,0.13304048
0.06750,0.16620213
0.06875,0.19936379
0.07000,0.23252545
0.07125,0.22165536
0.07250,0.21078526
0.07375,0.19991517
0.07500,0.18904508
0.07625,0.099957586
0.07750,0.010870092
0.07875,-0.078217402
0.08000,-0.1673049
0.08125,-0.14603732
0.08250,-0.12476975
0.08375,-0.10350218
0.08500,-0.08223461
0.08625,-0.071915899
0.08750,-0.061597189
0.08875,-0.051278478
0.09000,-0.040959767
0.09125,-0.065299321
0.09250,-0.089638875
0.09375,-0.11397843
0.09500,-0.13831798
0.09625,-0.15808895
0.09750,-0.17785991
0.09875,-0.19763088
0.10000,-0.21740184
0.10125,-0.17226733
0.10250,-0.12713282
0.10375,-0.081998303
0.10500,-0.036863791
0.10625,-0.007167959
0.10750,0.022527872
0.10875,0.052223703
0.11000,0.081919535
0.11125,0.12760543
0.11250,0.17329132
0.11375,0.21897722
0.11500,0.26466311
0.11625,0.29491032
0.11750,0.32515754
0.11875,0.35540475
0.12000,0.38565196
0.12125,0.27096461
0.12250,0.15627727
0.12375,0.041589918
0.12500,-0.073097431
0.12625,-0.16281508
0.12750,-0.25253272
0.12875,-0.34225036
0.13000,-0.43196801
0.13125,-0.38124091
0.13250,-0.33051381
0.13375,-0.27978672
0.13500,-0.22905962
0.13625,-0.20180562
0.13750,-0.17455162
0.13875,-0.14729762
0.14000,-0.12004363
0.14125,-0.058997819
0.14250,0.002047988
0.14375,0.063093795
0.14500,0.1241396
0.14625,0.15383543
0.14750,0.18353127
0.14875,0.2132271
0.15000,0.24292293
0.15125,0.21023388
0.15250,0.17754484
0.15375,0.14485579
0.15500,0.11216675
0.15625,0.098224673
0.15750,0.084282598
0.15875,0.070340524
0.16000,0.056398449
0.16125,0.028829375
0.16250,0.001260301
0.16375,-0.026308774
0.16500,-0.053877848
0.16625,-0.044976975
0.16750,-0.036076103
0.16875,-0.02717523
0.17000,-0.018274358
0.17125,-0.028986912
0.17250,-0.039699467
0.17375,-0.050412021
0.17500,-0.061124576
0.17625,-0.027805381
0.17750,0.005513815
0.17875,0.03883301
0.18000,0.072152206
