time,disp_x_max,disp_z_max,vonmises_max
0,0,0,0
0.005,6.9966708e-05,0.000370528347,0.18815538545393
0.01,0.00072614522624708,-0.0013512271137759,0.018420327278319
0.015,0.0039294690952169,-0.010046843052567,0.077932500377381
0.02,0.011414561470897,-0.038697185200349,0.12436820660131
0.025,0.022522691270064,-0.096708325414219,0.16244353326851
0.03,0.036920443864916,-0.16966629280957,0.23524652595951
0.035,0.056472068488902,-0.24483216236591,0.36535807350418
0.04,0.08238687333871,-0.30380587660976,0.46038244345368
0.045,0.11299561447013,-0.35636256627605,0.49530202206676
0.05,0.14679795527033,-0.4215454753033,0.60216605760863
0.055,0.1864367682758,-0.55796161580427,0.52039087484599
0.06,0.23654302874393,-0.68027309811942,0.63410911025198
0.065,0.29698891724335,-0.78856472475833,0.47192250421383
0.07,0.36485802732745,-0.86465768077076,0.48382096743963
0.075,0.44025354244516,-0.92743850348718,0.58354374996957
0.08,0.52440791633751,-0.95193637719927,0.54220769980434
0.085,0.61613790933617,-0.96618243789134,0.42706525690253
0.09,0.71788635209416,-1.0141088073138,0.42059890625438
0.095,0.83631317251202,-1.1203913324878,0.45884554063029
0.1,0.973586394753,-1.2139857779481,0.42649203824093
0.105,1.123804862684,-1.2849734474681,0.50100418267296
0.11,1.277381731374,-1.4836929668975,0.3599096590972
0.115,1.4249001604835,-1.6048827964603,0.80507917007802
0.12,1.5799934075539,-1.6769478326605,0.48908236012293
0.125,1.7644879965078,-1.6565962129785,0.39254446341836
0.13,1.965434771198,-1.7045920788486,0.69775214601808
0.135,2.1237223418259,-1.8051897035023,0.7655780903836
0.14,2.231145308389,-1.9498734910987,0.62879107343387
0.145,2.2969079424932,-2.1096060822075,0.26989702267308
0.15,2.3912742754213,-2.2517657304939,0.51728491575894
0.155,2.5673807838,-2.3521285183232,0.88398981767856
0.16,2.74906093658,-2.4073042662299,0.75013526821492
0.165,2.934309390194,-2.468772171622,0.87989119209953
0.17,3.125668267435,-2.5593871332054,1.2164865810053
0.175,3.3251350991606,-2.6359648312272,0.88870451973005
0.18,3.5345734825157,-2.7161348418536,0.96888348818092
0.185,3.7860270218231,-2.7863431699674,1.1826997826316
0.19,4.1087772693743,-2.8192998217888,1.2028630181472
0.195,4.3981877655511,-2.844588824647,1.237079416974
0.2,4.639035885329,-2.8769441766217,1.0353064033986
0.205,4.8364876200732,-3.0722481971689,1.0137311342498
0.21,4.995633305984,-3.2071345564418,1.3079943468978
0.215,5.1154561645619,-3.3077872130664,1.306955210882
0.22,5.1833806210045,-3.3374429117962,1.8721364335683
0.225,5.1792087976786,-3.2956019155914,1.9448219189039
0.23,5.0938304953362,-3.2403284686023,1.9975814997749
0.235,4.9344769152115,-3.1731157628822,2.5330692448872
0.24,4.7261474411682,-3.165144271446,2.4158075656385
0.245,4.506234626626,-3.0478650586836,2.9757084349162
0.25,4.2459828970517,-2.8823687956219,2.2346989359931
0.255,3.9713004992055,-2.6440328347125,2.4261861417866
0.26,3.6472101509182,-2.7196113750083,1.4562532772122
0.265,3.2704479431993,-2.6792217929347,2.0512985347375
0.27,2.8431711983931,-2.5951574073284,1.2285469772349
0.275,2.3802817429176,-2.391484599749,1.3952645031439
0.28,1.8714252393736,-2.5294213647595,0.90382294897821
0.285,1.3053787042772,-2.6478179157826,1.4944318700911
0.29,0.67042727169819,-2.7710551869097,0.77887850079836
0.295,-0.021225492284469,-2.8360114143674,0.81636868723206
0.3,-0.66638992882776,-2.9315148925554,1.0601956429662
0.305,-1.2872760461874,-3.001201731942,1.0655499473112
0.31,-1.862163225958,-3.0277903841507,0.95049704022472
0.315,-2.395939048328,-3.2405772221188,1.3517717354291
0.32,-2.8871051611569,-3.3315781361887,2.2005262970881
0.325,-3.3588205362669,-3.3900097555975,1.7306254078625
0.33,-3.8438775141857,-3.3582749885085,2.3114458945093
0.335,-4.3144993171115,-3.5457405961014,2.1467570514901
0.34,-4.7583697984454,-3.6493613955681,2.5140513373341
0.345,-5.0301138741911,-3.7129095230721,2.3903419393746
0.35,-5.4236279649354,-3.6518368259497,3.3829449262237
0.355,-6.0811713136925,-3.6891161060573,4.3176896521488
0.36,-7.0550876877237,-3.7484555323621,4.5975372054694
0.365,-8.3307601561524,-3.7984596816833,4.7875253466855
0.37,-9.846530371285,-3.9242627124586,4.8308354893347
0.375,-11.529925628813,-4.0633903089292,5.9113218837075
0.38,-13.317902639591,-4.1969102737067,5.9798612913841
0.385,-15.102310592,-4.3184547522425,5.6003983469072
0.39,-16.739789665588,-4.4422994919525,5.6190044116838
0.395,-18.429200573655,-4.5815983124497,5.416030314689
0.4,-20.155328147229,-4.7255800491101,3.9650739909357
0.405,-21.895062743451,-4.8616887037659,3.1740621548149
0.41,-23.546256989348,-4.9695718457635,2.1159238239625
0.415,-25.158030994374,-5.0429189618237,1.5137372483895
0.42,-26.837142025992,-5.0804573584112,1.8796994286823
0.425,-28.529119632302,-5.1386385030345,3.7482311522001
0.43,-29.991371807844,-5.1791939252249,6.2294871965214
0.435,-31.332173128362,-5.1640631957284,7.9547943433944
0.44,-32.545294957163,-5.1025585838271,9.5136482143223
0.445,-33.642137686442,-5.0637971254902,10.738366510547
0.45,-34.636014595388,-5.0812483798454,10.769868400268
0.455,-35.532431024453,-5.1283820327311,10.503849381573
0.46,-36.336161224237,-5.2032196146271,8.9753949558916
0.465,-37.067540845625,-5.3149087667857,6.4537367417201
0.47,-37.76750540913,-5.4044796391797,4.6503128887073
0.475,-37.957934041353,-5.4380949808019,2.2635811600505
0.48,-38.260623248991,-5.4313809046717,3.8402843551051
0.485,-38.764315468896,-5.5764429117412,6.4278874341959
0.49,-39.549452018913,-5.6608701701817,8.3885679072151
0.495,-40.719067616537,-5.709196481628,8.5112468209949
0.5,-42.364705563671,-5.8045157471442,10.176357989731
0.505,-44.479411098788,-5.9805262533675,9.322362572264
0.51,-46.933460268152,-6.1253964758168,8.1952503309496
0.515,-49.282893903203,-6.2725521875626,6.6765481298629
0.52,-51.392955126105,-6.4342486511021,6.3988656138772
0.525,-53.44189069478,-6.6328835157757,6.2067617759233
0.53,-55.5803861035,-6.8344067435616,5.284421816514
0.535,-57.79097369685,-6.9952072929094,4.1365541462268
0.54,-60.032867684917,-7.2034016775716,3.4717385096899
0.545,-61.914770546376,-7.3950822473572,4.4956772206022
0.55,-63.782723785438,-7.581868102191,5.086813201406
0.555,-65.805596157665,-7.7281819498329,4.2396281082706
0.56,-68.07576622843,-7.9843455141458,3.3649860400695
0.565,-70.572812122768,-8.200633519695,1.8817532146771
0.57,-72.727601563095,-8.2918291193337,3.2088723540649
0.575,-74.73156433928,-8.3506323288765,6.3936285623886
0.58,-76.789531752859,-8.4951697262561,8.7987462019967
0.585,-78.914246644008,-8.6386988850531,8.6836802348092
0.59,-81.089932964528,-8.8021491411636,7.8222038312367
0.595,-83.00817822795,-9.0108294033151,7.1176399873017
0.6,-84.790373328482,-9.2301011468345,6.2875507323781
0.605,-86.738684252124,-9.4823801307619,4.0744556973618
0.61,-88.863113261676,-9.7267726003002,2.6287734829389
0.615,-91.158494604432,-10.048388497555,4.9174112217744
0.62,-93.582603663244,-10.291665829244,7.4854118120595
0.625,-95.406222250788,-10.511787425971,7.3545527171718
0.63,-97.182455791307,-10.775658318858,8.6148235578084
0.635,-98.943086767738,-11.125522739827,8.2790497338416
0.64,-100.72277925967,-11.554823603763,7.365797991549
0.645,-102.55245354488,-11.95946313456,4.4745341935692
0.65,-104.43595507506,-12.294035989251,1.0322847951366
0.655,-105.45423532592,-12.624802018616,4.1097624054557
0.66,-106.69817575425,-12.880698941544,7.6686468010193
0.665,-108.32051816784,-13.155649340403,9.8917258740001
0.67,-110.34547295694,-13.513943443846,11.140773848533
0.675,-112.72523623084,-13.940780407397,12.59892726326
0.68,-115.35947107881,-14.338218211784,12.376767859072
0.685,-117.01475838738,-14.649148105709,11.613007065386
0.69,-118.59383666679,-14.983883459671,11.643321261491
0.695,-120.17014348321,-15.332819157136,9.4522787162974
0.7,-121.73498406118,-15.711310073389,8.1362254423798
0.705,-123.26282318206,-16.133265645058,4.9222233394283
0.71,-124.7187704939,-16.455434314869,6.0711920400141
0.715,-125.67869961785,-16.689887691846,10.340310315858
0.72,-126.25917130017,-16.896061251782,13.111572540138
0.725,-127.13227851355,-17.135610911023,12.717708568168
0.73,-128.27158664834,-17.435143780128,11.171887075202
0.735,-129.60284475399,-17.789645921768,9.5543167373853
0.74,-130.75687879934,-18.128461489258,5.3828794784034
0.745,-131.44568322757,-18.420902503489,3.7651601540537
0.75,-132.0971663277,-18.671086915094,5.3913193566386
0.755,-132.69912199562,-18.901507908535,9.1369233893376
0.76,-133.23969497348,-19.114799158163,11.42383215737
0.765,-133.71572095065,-19.37156682512,11.50925943936
0.77,-134.12963270648,-19.642319160984,11.780558176024
0.775,-134.25397156897,-19.891254202849,10.717341943384
0.78,-133.99305148432,-20.118894492294,8.5760971379096
0.785,-133.93147974893,-20.393886290698,6.9728054771346
0.79,-134.09555529554,-20.700282673523,4.4911477909009
